,word,iliad_24,iliad_1,corpus
0,ἔτικτον,1,0,1
1,ἄειδε,0,1,10
2,βούλεται,0,1,5
3,ἐποίσει,0,1,2
4,ἐξάρχους,1,0,1
5,εὐτείχεον,0,1,6
6,αἴ,5,5,158
7,ἄλοχον,1,0,19
8,ἀπεμνήσαντο,1,0,1
9,δῶμα,0,3,100
10,ἀνδράσιν,2,2,31
11,χρυσείοις,0,1,2
12,κατά,14,18,579
13,αἴθοπα,1,1,22
14,νόσφι,0,1,19
15,ἐλθόντι,1,0,2
16,ὅσση,1,0,3
17,φίλων,1,0,27
18,ἐξείποι,1,0,1
19,νήπια,1,0,15
20,πωλέσκετο,0,1,3
21,βούβρωστις,1,0,1
22,ποτ,2,7,103
23,εἰρύαται,0,1,4
24,ἴδωμαι,0,2,9
25,δόντες,0,1,3
26,ἐστι,2,3,53
27,ἔην,4,0,73
28,Ἀτρεΐδης,1,8,77
29,ἐλαύνετον,0,1,1
30,λοῦσαν,1,0,5
31,κάλυμμ,1,0,1
32,Ὀλύμπιος,3,5,21
33,Μυρμιδόνεσσιν,0,1,6
34,πρῆσεν,0,1,1
35,οὔρεσιν,1,0,5
36,δῶ,0,1,25
37,Μενοιτιάδαο,1,0,10
38,θηρητῆρ,1,0,1
39,οὗτος,1,0,34
40,ἅμα,11,9,140
41,ἀπηύρα,1,0,19
42,θείης,1,0,1
43,κλαίωμεν,1,0,2
44,ὠκέας,1,0,22
45,αὐτοῖο,1,2,11
46,πτολιπόρθῳ,1,0,4
47,φερόμην,0,1,8
48,εἶπες,1,0,4
49,ποιμένα,0,1,29
50,ἐπιθήματα,1,0,1
51,μήτηρ,5,2,108
52,κατέδησαν,1,0,5
53,Ἕκτορι,2,0,66
54,γαῖαν,4,1,164
55,κατακείαται,1,0,1
56,βροτοί,1,1,15
57,ἀϊχθήτην,1,0,1
58,ἔτλης,1,0,8
59,ὀνείαθ,1,0,14
60,σά,1,0,13
61,μίνυνθά,0,1,8
62,Ἑκάβην,1,0,1
63,αὐτή,4,1,60
64,ἐλάσσας,1,0,2
65,τρόμος,1,0,15
66,σόα,1,0,2
67,τινά,2,0,33
68,ἔλων,1,0,2
69,ἶσον,0,2,20
70,εὐχόμενος,1,3,31
71,κεῖνος,2,0,57
72,ἅρμα,1,0,13
73,παῖδά,0,1,7
74,φράζεαι,0,1,1
75,μυρί,0,1,6
76,μοῖραν,1,1,48
77,μάντιές,1,0,1
78,κεδνάς,1,0,1
79,ὑπερέσχεθε,1,0,2
80,ἦμος,1,2,38
81,πλευράς,1,0,3
82,οὐχ,2,0,53
83,ἀγορητής,0,1,4
84,γλυκίων,0,1,4
85,ἐτήτυμον,0,1,11
86,φάγον,1,0,3
87,κεῖνον,1,0,26
88,λυγρῶν,1,0,2
89,λήθετ,1,1,6
90,δειδιότες,1,0,6
91,Μυρμιδόνων,1,1,12
92,ἐννέα,1,0,16
93,δάκρυ,5,3,52
94,ἄτην,0,1,8
95,τῆσδε,0,1,2
96,καλλιπάρῃος,1,0,6
97,Κίλλαν,0,1,1
98,νεωτέρου,1,0,1
99,σήν,2,0,24
100,φρονέουσα,1,0,4
101,ταχύν,2,0,14
102,Θέτι,2,0,5
103,οἱ,25,13,1130
104,ὄφρα,5,6,197
105,ἐπείθετο,1,1,6
106,λελείψεται,1,0,1
107,δάσσαντο,0,1,1
108,ζευγνύσθην,1,0,1
109,ἀλεῖψαι,1,0,2
110,πίσυνος,2,0,5
111,ἔνδοθι,0,1,13
112,ἐσσί,1,0,13
113,θυμός,3,4,222
114,Δαρδανίδη,2,0,2
115,διογενής,0,1,13
116,τήν,9,17,318
117,ἁπτόμεναι,1,0,1
118,ἀρητόν,1,0,2
119,ἀρνύμενοι,0,1,1
120,νέοι,0,1,21
121,μετέειπεν,0,2,21
122,ὑψορόφοιο,1,0,2
123,ἀγαθόν,3,0,28
124,ὦχ,0,1,2
125,ὀνείδεα,0,1,7
126,ἱστοδόκῃ,0,1,1
127,ἔμοιγ,1,0,1
128,λάβῃσιν,1,0,3
129,Ἶρις,5,0,27
130,θῆκε,2,1,38
131,κύπελλον,1,1,2
132,ἠδ,9,6,205
133,ἔτελλε,0,3,4
134,ὑψοῦ,0,1,9
135,Διός,6,11,255
136,συλεύειν,1,0,1
137,χεῖρας,4,4,117
138,ἐριζέμεναι,0,1,4
139,λίσσετο,0,2,3
140,ἔξοχα,2,0,11
141,λῆγε,0,1,2
142,ὀμφαλόεν,1,0,1
143,φίλην,0,3,54
144,ἥψατο,0,1,4
145,ἑξείης,1,1,23
146,ἔρχεσθον,0,1,1
147,οἶον,2,0,33
148,τοῦ,10,5,228
149,κυνῶπα,0,1,1
150,στείρῃ,0,1,2
151,ἀμιχθαλόεσσαν,1,0,1
152,ἐόντι,2,0,10
153,πύργου,1,0,7
154,ἀτρεκέως,2,0,32
155,ἀρχός,0,2,9
156,χλαίνας,2,0,15
157,φόρμιγγα,1,0,11
158,Διόθεν,2,0,3
159,θεοῖο,1,3,16
160,πατέρ,4,0,28
161,παῖδ,1,0,20
162,ἕνεκά,0,1,1
163,ἀχνύμενός,0,2,13
164,ζυγῷ,1,0,1
165,οἴκου,1,0,11
166,αὐτῆς,2,0,40
167,πημανέειν,1,0,1
168,θάμβος,1,0,5
169,ἆνερ,1,0,1
170,κηδομένη,1,3,6
171,Κρονίδη,0,1,10
172,Ἄϊδι,0,1,7
173,μάντιν,0,1,3
174,ἤϊ,0,1,2
175,ἥμιν,0,1,2
176,ἔξειμι,1,0,2
177,ἠπείροιο,0,1,9
178,ἀραρυῖα,1,0,4
179,ἴσχειν,1,0,4
180,δμῳάς,1,0,13
181,ἄξει,2,0,6
182,δι,1,0,44
183,ἐρίσαντε,0,1,1
184,φάρε,1,0,3
185,ἀπήνῃ,1,0,3
186,Ἀνδρομάχη,1,0,6
187,ὅσσ,2,0,22
188,ὄπισθεν,2,0,22
189,Τροίηθεν,1,0,7
190,θάνατος,3,0,25
191,ἡμίονοι,2,0,5
192,πρῴην,1,0,2
193,ἦν,1,0,78
194,προβάλοντο,0,1,4
195,μείλανι,1,0,1
196,μεγάροισι,6,1,75
197,μάλα,5,7,330
198,πυκάσας,1,0,1
199,φέρουσα,1,0,23
200,νεικεῖ,0,1,1
201,ὀδύρονται,1,0,2
202,τριτάτη,1,0,2
203,ἀτίτηλα,1,0,1
204,ἑκατηβελέταο,0,1,1
205,δεξιόν,2,0,21
206,προσέφη,7,9,213
207,φῶτα,1,0,15
208,ἔτος,1,0,11
209,τεθνηότα,1,0,3
210,γυναῖκά,1,0,5
211,θεοπροπέων,0,1,3
212,ἐξ,8,6,276
213,μεθέμεν,0,1,2
214,παρέζετο,0,1,1
215,ἄκριτα,1,0,5
216,ἐπ,15,7,395
217,τιμήσουσι,0,1,3
218,χροΐ,1,0,42
219,ὄρνις,1,0,14
220,λέλειπται,1,0,3
221,παῦε,0,1,2
222,εἴη,4,0,98
223,ἔχε,1,0,56
224,ἐφιεμένῃ,1,0,1
225,πάϊς,6,0,78
226,ἐκκαλέσας,1,0,1
227,τάδ,0,1,14
228,Τροίηνδ,1,0,3
229,ἀπείρονα,1,1,11
230,στορέσαι,1,0,5
231,προβέβουλα,0,1,1
232,μυρία,1,0,10
233,οἴῳ,0,1,11
234,ἐρύξει,2,0,6
235,μήδε,2,0,4
236,σφώ,0,1,4
237,ἧκεν,1,0,15
238,ἀμβρόσια,1,0,3
239,ἑκάεργον,0,2,2
240,ἀνέδυ,0,1,2
241,ἔχοντες,2,1,53
242,λεχέεσσι,2,0,12
243,κατ,5,4,148
244,ἵκοντο,2,2,40
245,ὁρᾶτο,0,2,3
246,στήτην,0,1,5
247,γένειον,1,0,3
248,χάρμα,1,0,8
249,ἔλλαβε,2,0,16
250,ἀγάγωμι,1,0,1
251,ἰθύνοι,2,0,3
252,πέρνασχ,1,0,1
253,ἀπηνέος,0,1,1
254,ἀσχαλόωσι,1,0,2
255,ὄζος,1,0,7
256,ἀκέων,0,2,13
257,μνῆσαι,1,0,8
258,καλήτορα,1,0,1
259,πέτασσαν,0,1,3
260,δεξιτερῆφι,1,0,3
261,δηλήμονες,1,0,1
262,ἔπεισιν,0,1,3
263,ἀπάνευθε,2,3,35
264,χραίσμῃ,0,1,3
265,κατέθηκαν,1,0,1
266,ἄνακτος,1,2,71
267,ἱλασόμεσθα,0,1,1
268,ἔριδι,0,1,7
269,τό,6,15,296
270,καθέηκα,1,0,1
271,καρπῷ,1,0,12
272,ὅν,5,6,214
273,ἀμύμονος,1,0,41
274,εἶβεν,1,0,2
275,ἄπεχε,1,0,1
276,ἐλάτης,1,0,1
277,κελόμην,0,1,5
278,κτερεϊζέμεν,1,0,1
279,λύσαιτε,0,1,1
280,καθῆστο,0,1,2
281,οἴω,2,0,15
282,αἰδῶ,1,0,7
283,αἴθ,1,1,13
284,ὀλέσῃς,0,1,1
285,ἐλεεινότερός,1,0,1
286,φίλτατε,2,0,2
287,ἔργα,3,2,127
288,κεφαλῆς,4,0,44
289,Ἀχιλλεύς,22,12,173
290,ἐπιτηδές,0,1,2
291,ἔασκεν,1,0,1
292,ἡβῶν,1,0,3
293,ἀλίτωμαι,1,0,1
294,δοίη,1,0,14
295,βλεφάροισιν,1,0,8
296,κρήγυον,0,1,1
297,ἄμμε,1,1,13
298,δέμας,1,1,42
299,θύραζε,1,0,34
300,πέλεται,1,1,10
301,ἐκπέρσωσ,0,1,1
302,κοιμᾶθ,0,1,2
303,βαῖνον,0,1,5
304,ἐμοί,2,6,169
305,ἐθελούσης,1,0,1
306,εἵνεκα,1,3,47
307,καλόν,3,1,67
308,οὔρεά,0,1,1
309,ἐξαναβᾶσαι,1,0,1
310,ἐκέλευες,1,0,3
311,ἔτεκές,0,1,1
312,ἀλόχους,1,0,10
313,προέρυσσεν,0,1,1
314,ἐρέτας,0,2,4
315,κέλευσε,1,0,13
316,κιοίτην,1,0,2
317,χρύσεον,1,0,15
318,τίσειαν,0,1,1
319,κόσμον,1,0,15
320,ἀμάξῃσιν,1,0,1
321,κατηφόνες,1,0,1
322,μηροῦ,0,1,16
323,ὀλέσαι,1,0,3
324,στέμματ,0,2,2
325,ῥίψει,1,0,1
326,τῇδ,1,0,3
327,εὐλαί,1,0,2
328,ὁμαρτέων,1,0,1
329,Δαναοῖσιν,0,2,16
330,πυρός,1,0,50
331,ἅλιον,2,0,17
332,ῥέξας,0,1,7
333,ἠϋκόμοιο,1,0,15
334,οἶος,5,1,66
335,ἐρέοντο,0,1,5
336,αἰσχροῖσιν,1,0,1
337,ἠρήσατο,0,1,4
338,φίλοιο,2,0,10
339,καταμήσατο,1,0,1
340,πόσις,1,0,28
341,νέηαι,0,1,1
342,παίδων,2,0,14
343,ἔφησθα,0,1,4
344,ἥνδανε,0,2,11
345,ἄγων,3,3,32
346,ἀταρτηροῖς,0,1,1
347,στῆσαν,1,0,5
348,πίσυρας,1,0,4
349,πυρῇ,1,0,6
350,θεράποντες,1,0,19
351,ἄλεισον,1,0,8
352,φθινύθεσκε,0,1,1
353,ἔς,1,0,13
354,παρέξ,2,0,17
355,ἁζόμενοι,0,1,2
356,χωομένοιο,0,1,4
357,αὐτοῦ,0,3,172
358,κτενέει,2,0,3
359,πυλάων,2,0,15
360,ἄναξ,0,4,93
361,ἱσταμένη,1,0,14
362,θ,7,6,219
363,ἀλόχῳ,1,1,15
364,ἀγάννιφον,0,1,2
365,ἀλλήλους,3,0,58
366,οὕς,2,0,59
367,ἐπελθών,1,0,15
368,ἄμβροτος,1,0,3
369,θέσαν,4,1,20
370,ποίησαν,3,0,7
371,κεραϊζομένην,1,0,1
372,ἐθρήνεον,1,0,1
373,κῆρυξ,3,0,35
374,Διί,3,2,78
375,λέχε,1,0,1
376,πολεμίξομεν,1,0,1
377,δέχθαι,0,2,2
378,δεσμῶν,0,1,2
379,στέμμα,0,1,1
380,ᾤχετο,0,2,16
381,θύγατρα,0,3,7
382,ἐγκονέουσαι,1,0,3
383,κείμενα,0,1,2
384,ἀπατηλόν,0,1,1
385,φρένας,0,2,61
386,ἐϋξέστην,1,0,1
387,θυοσκόοι,1,0,1
388,κάρη,2,0,71
389,ἔδερόν,1,0,2
390,λάβε,1,2,24
391,γλυκερῷ,1,0,5
392,πᾶν,1,2,26
393,ἀμφίσταθ,1,0,1
394,ἦσθα,1,0,10
395,μέμονας,1,0,5
396,ὀρθαί,1,0,1
397,κίον,1,0,19
398,καρπαλίμως,2,2,42
399,ἠτίμησεν,0,2,3
400,φῶτ,1,0,5
401,τελέσσω,0,1,2
402,ἵλαος,0,1,2
403,ἄλλαι,1,0,19
404,αὐτίκ,3,2,80
405,ὑγρήν,1,0,7
406,ἐφθίαθ,0,1,1
407,ἀποπαύεο,0,1,1
408,εὐνάς,1,1,8
409,χερί,1,0,3
410,μαζόν,1,0,11
411,ἰών,0,3,88
412,νόημα,1,0,13
413,οἰκτίρων,1,0,1
414,ὄτρυν,1,0,2
415,τεῦχε,0,1,5
416,χαίρει,1,0,3
417,λῦσον,2,0,4
418,ἷξον,1,0,11
419,ἀντιόωσαν,0,1,1
420,Ἕκτορα,13,0,77
421,ἠϊόνας,1,0,1
422,παρήμενος,0,2,8
423,πρότερος,2,1,33
424,ὁμόκλα,1,0,2
425,ὅτε,10,5,390
426,ἥλοισι,0,1,2
427,Ξάνθου,1,0,5
428,ἐντός,1,1,21
429,ἀλόχοιο,1,0,9
430,μῆλα,1,0,50
431,ὄτρυνε,1,0,32
432,ἔξαγε,0,1,1
433,ἀνελών,0,1,2
434,κείνου,1,0,21
435,Πηλεΐωνος,1,0,14
436,μνήσασα,0,1,1
437,προΐει,0,2,21
438,μάλιστά,1,0,6
439,Ἥφαιστος,0,2,23
440,ἄλλους,4,1,55
441,τίπτέ,1,0,4
442,ἀχεύων,1,0,11
443,Ἴλοιο,1,0,1
444,ὅρκος,0,1,3
445,νηυσί,3,7,96
446,ἀΐξασα,1,0,8
447,ἠνώγει,1,0,8
448,Ἴλιος,1,0,7
449,χεῖρ,1,0,16
450,οἰωνοπόλων,0,1,2
451,ἀάσχετον,1,0,2
452,ἐμῇ,0,1,11
453,ἔχθιστος,0,1,4
454,τέκνα,3,0,38
455,ἐέργει,1,0,6
456,ἱερά,0,1,14
457,οὔτ,10,4,134
458,ὀνειροπόλον,0,1,1
459,ἰδόντες,1,0,9
460,ἀχνύμενος,0,1,7
461,θυμῷ,11,7,230
462,ἠέ,4,3,190
463,ἵμερον,1,0,11
464,δῶκεν,1,0,24
465,εὐπέπλων,1,0,2
466,ἀπέβαινεν,1,0,1
467,Τρῳάδες,1,0,1
468,λοῦσαι,1,0,1
469,χιτῶνας,1,0,12
470,παννύχιοι,1,0,9
471,δυωδεκάτῃ,1,0,2
472,θεάς,1,0,1
473,ἐριδούπου,1,0,4
474,κτέρας,1,0,2
475,ὑπνώοντας,1,0,3
476,Βρισηΐς,1,0,2
477,ὅδ,0,1,29
478,ἠέλιος,0,1,34
479,κλήρῳ,1,0,4
480,κομίσαντο,0,1,1
481,καρτίστοις,0,1,1
482,ἠώς,6,1,25
483,δειλοῖσι,1,0,7
484,κατέρεξεν,1,1,6
485,παλιμπλαγχθέντας,0,1,1
486,ἐπιχεῦαι,1,0,1
487,μέγαν,0,3,74
488,ἴδοιτο,2,0,8
489,δέος,0,1,22
490,ἀληθείην,1,0,9
491,γόος,1,0,2
492,ὀλέκοντο,0,1,1
493,ἐπέσσυται,0,1,3
494,φλοιόν,0,1,1
495,νύκτα,3,0,31
496,ἀπήνης,3,0,8
497,ποιήσαιμεν,1,0,1
498,ὑπ,3,1,140
499,τετάρπετο,1,0,2
500,τεκοῦσα,0,1,1
501,Ἀθηναίης,0,1,15
502,μελίφρονα,1,0,9
503,μελαίνῃ,0,3,39
504,εἵαθ,2,0,3
505,φάσθαι,0,1,11
506,φίλῃ,0,3,8
507,ὄφελλεν,0,1,2
508,ἱερεύς,0,1,1
509,ἐπιδήμιοι,1,0,1
510,ἄγχι,2,0,54
511,θεοείκελ,0,1,2
512,ἑκάτοιο,0,1,4
513,δολομῆτα,0,1,1
514,ἧος,0,1,22
515,σύν,6,8,214
516,εἰ,10,16,399
517,ἑσπόμεθ,0,1,1
518,μεγάρῳ,1,0,27
519,κούρην,0,4,21
520,κειμήλια,1,0,15
521,ἔριδος,0,2,17
522,σύμπαντας,0,1,1
523,ἤγαγον,1,0,10
524,ὄρσο,1,0,4
525,διά,3,2,168
526,Λήμνῳ,0,1,3
527,ἐπέσχε,1,0,6
528,βωμόν,0,2,6
529,κακῷ,1,0,10
530,χαλκοβατές,0,1,6
531,μίστυλλόν,1,1,8
532,Εὐρυβάτην,0,1,1
533,μαχλοσύνην,1,0,1
534,μεθομίλεον,0,1,1
535,χραίσμωσιν,0,1,1
536,παρέσσεται,0,1,4
537,θοῦρος,1,0,2
538,Ἀχιλεύς,7,1,35
539,οὐδ,10,15,482
540,δῖε,1,0,6
541,λάθον,1,0,2
542,ἀνέρας,1,1,17
543,τάνυσσαν,0,1,3
544,κυνός,0,1,3
545,γναμπτόν,1,0,1
546,γήραος,1,0,5
547,ἔστενε,1,0,4
548,ἔκλυε,1,3,14
549,ποταμοῖο,1,0,38
550,κακιζόμενόν,1,0,1
551,δαΐζων,1,0,5
552,βασιλεύς,0,3,14
553,ἀείδοντες,0,1,2
554,ἀναβάς,0,1,7
555,λιμένος,0,1,13
556,σφῶϊ,0,1,10
557,Μοῖραι,1,0,1
558,ἀρήγειν,0,1,2
559,οἰωνῶν,2,0,4
560,ταχεῖα,1,0,4
561,ἐνῆεν,0,1,1
562,ὀρέγεσθαι,1,0,1
563,ἵκανεν,0,1,13
564,σφιν,1,3,103
565,Τρώεσσιν,0,2,49
566,νεωτέρω,0,1,1
567,ἔχεαν,1,0,3
568,Πηλέϊ,1,0,1
569,δεινάς,1,0,1
570,οἰνοχόει,0,1,2
571,παυέσκετο,1,0,1
572,Ἴμβρου,1,0,3
573,ἰδέειν,1,0,16
574,Ἠετίωνος,0,1,10
575,κτείνεσκε,1,0,1
576,ἔσεαι,0,1,2
577,θυγάτηρ,1,2,52
578,ἠδέ,5,2,318
579,ἀγαθήν,1,0,5
580,κήδετο,0,1,4
581,κρατέειν,0,1,1
582,ἱκέτεω,2,0,2
583,Πάτροκλόν,1,0,4
584,Πέργαμον,1,0,1
585,ἔχειν,0,1,9
586,ἀπέλυσεν,1,0,1
587,νηδύος,1,0,2
588,εἰσενόησεν,1,0,1
589,Θησέα,0,1,2
590,ἠπείλησεν,0,1,4
591,κρατερώνυχας,1,0,6
592,Ὀδυσῆος,0,1,64
593,ἑλόντ,1,1,2
594,πρῶτος,0,1,54
595,κρατέει,0,1,4
596,Μυρμιδόνες,1,0,11
597,ἕκαστα,0,1,36
598,μέχρις,1,0,1
599,αὐτόθι,1,0,24
600,κήδονται,1,0,1
601,ἀκτήν,1,0,8
602,ὄναρ,0,1,4
603,τύνη,1,0,6
604,σχίζῃς,0,1,2
605,ἀμβροσίην,1,0,13
606,σκύζεσθαί,1,0,1
607,εἶπας,0,2,3
608,καθύπερθεν,2,0,14
609,ἴσαν,2,1,35
610,ἔστι,1,0,52
611,εἶναι,2,3,137
612,ὄρεος,1,0,14
613,Διΐ,1,2,17
614,ἀελλόπος,2,0,3
615,οὐρεῦσι,1,0,1
616,σβέσαν,1,0,2
617,νοῆσαι,0,2,9
618,Ἥρη,3,11,99
619,λαῶν,1,3,106
620,μεγάθυμοι,0,2,9
621,κατακτείνειε,1,0,2
622,πόποι,0,1,51
623,ἀγέμεν,0,2,7
624,ἀμείνων,0,1,20
625,κτάνον,1,0,3
626,αἰγῶν,1,3,21
627,λῆγ,0,2,3
628,εἴποι,0,1,11
629,ταρπήμεναι,1,0,2
630,ἐτύπη,1,0,1
631,φόνῳ,1,0,3
632,κυλινδόμενος,2,0,5
633,πίθηαι,0,1,4
634,οἴνῳ,1,0,14
635,ἐπεπείθεθ,0,1,3
636,καλέουσι,0,1,7
637,ἔδωκε,1,0,34
638,πρῶτον,4,2,87
639,πέρσεται,1,0,1
640,θεός,4,2,131
641,ἐπιχθόνιοι,0,1,1
642,ἄντιτα,1,0,3
643,ἔπειτ,1,6,103
644,πολύ,2,5,107
645,ἵν,1,0,46
646,μειδήσασα,0,1,2
647,Πολύκτωρ,1,0,2
648,ἕζετ,0,1,17
649,ἔπειτα,18,9,349
650,θάνατον,1,0,40
651,εἴσεται,0,1,4
652,πολύμητις,0,2,85
653,πυρί,1,1,56
654,τόσους,1,0,3
655,κομίζω,1,0,1
656,Ἕλενόν,1,0,1
657,οἴη,0,1,19
658,αἴσιον,1,0,1
659,ἁψάμενος,1,0,3
660,λήθεσκεν,1,0,1
661,λίπ,0,1,14
662,ἄρα,20,6,575
663,ὦ,5,4,179
664,μόρον,1,0,14
665,ἐγγύθεν,1,0,42
666,ἐμά,0,1,15
667,ποσσῆμαρ,1,0,1
668,ὀφρύσι,0,1,15
669,περί,16,8,354
670,ἀπ,3,2,106
671,ἄσπετον,2,0,14
672,ἄπιστος,1,0,4
673,ὠκύς,5,6,39
674,μάχεσθαι,0,3,105
675,ποτί,3,2,65
676,ποίησεν,0,1,2
677,ἐόντος,1,0,16
678,ἐφήσεις,0,1,2
679,ἀθανάτοισιν,2,3,33
680,ὁ,0,2,298
681,πανημέριοι,0,1,6
682,αἰεί,6,6,163
683,ἐϋπήκτου,1,0,1
684,ἐθέλοντ,1,0,1
685,τέ,5,4,117
686,Ἀχαιΐδα,0,1,6
687,πολλούς,1,0,20
688,δεδίασιν,1,0,1
689,ἐρέω,1,4,64
690,πρηνής,1,0,12
691,πέλευ,1,0,1
692,τέκεν,1,0,10
693,κιών,0,1,27
694,δίπτυχα,0,1,4
695,πόλλ,1,0,59
696,φίλα,0,1,34
697,ἔλαυνε,2,0,6
698,ἐόντ,1,0,8
699,προθέουσιν,0,1,1
700,ἤθελον,0,1,7
701,σῆμ,3,0,4
702,τοῦτο,1,2,41
703,σύ,13,20,373
704,κοιμήσαντο,1,1,8
705,κλαῖεν,1,0,6
706,οὐλομένην,0,1,3
707,ἐτέλεσσας,0,1,2
708,ἑκάεργος,0,1,12
709,ἀνάποινον,0,1,1
710,ἔφ,0,1,3
711,κλαῖ,1,0,2
712,ἐέλμεθα,1,0,1
713,τεόν,1,2,19
714,ἐπιειμένε,0,1,1
715,ζεύξειεν,1,0,1
716,ὀδύρεο,1,0,2
717,ἑσταότες,1,0,9
718,μετέφη,0,1,14
719,ἤν,0,2,31
720,κατείβετο,1,0,2
721,ἐρικυδέα,1,0,8
722,αἶψά,0,1,16
723,ἐρέουσα,0,1,4
724,ταῦθ,0,1,10
725,ὑπελύσαο,0,1,1
726,ἐδήσατο,1,0,12
727,λωβητόν,1,0,1
728,ἀδάκρυτος,0,1,1
729,γόνος,1,0,5
730,ῥέξω,1,0,5
731,ποθέεσκε,0,1,1
732,μετάλλα,0,1,3
733,ἥβη,1,0,2
734,σπλάγχνα,0,1,7
735,Ἐξάδιόν,0,1,1
736,εἴπῃς,0,2,4
737,σός,1,0,12
738,λυγρόν,1,0,16
739,ἦλθ,2,0,18
740,ὑπάτῃ,1,0,2
741,κτεινομένους,0,1,3
742,χρή,0,1,55
743,ἄμφεπον,1,0,3
744,βασιλῆες,1,0,16
745,ἄγγελον,3,0,7
746,μεμνημένος,2,0,8
747,τετιηότι,1,0,3
748,ῥέζων,1,0,4
749,εἰσορόωντες,1,0,9
750,κραδίην,1,2,15
751,λήθεις,1,0,2
752,ἰόντες,1,0,26
753,πῇ,2,0,17
754,ἄνσχεο,2,0,3
755,Πηλεΐδη,0,1,6
756,ὡς,11,6,539
757,κώκυσέν,1,0,2
758,λέλυται,1,0,2
759,θεράποντε,0,1,6
760,ἡμῖν,0,4,69
761,ἐναίσιμα,1,0,4
762,δικαζέμεν,0,1,1
763,νόος,2,0,40
764,ἀγορήν,0,3,33
765,πάροιθ,0,2,6
766,ἐκ,15,10,557
767,εἵην,1,0,1
768,Ἀγάθωνά,1,0,1
769,τηλόθι,3,1,9
770,ἔνδοθεν,1,0,7
771,ἔσω,3,0,7
772,κάμε,1,0,11
773,σύνθεο,0,1,9
774,ἑτέρου,1,0,2
775,ἀντιάσας,0,1,1
776,ἔκτανεν,1,0,5
777,εὔχεο,2,0,9
778,τοκεῦσι,1,0,4
779,βασιλῆϊ,0,2,12
780,κέδρινον,1,0,1
781,ἀγύρει,1,0,2
782,ἐλύσαο,1,0,1
783,ἐμόν,2,4,104
784,λαοῖσί,1,0,1
785,ῥίμφα,2,0,16
786,ἀποδρύφοι,1,0,2
787,δυωδεκάτη,2,1,6
788,μελήσεται,0,1,1
789,καταπέψῃ,0,1,1
790,ἑῇσι,1,0,1
791,ἀρηϊφάτους,1,0,2
792,τοί,4,2,171
793,ἀμῦναι,1,3,9
794,ἄχος,0,1,45
795,κύσε,1,0,6
796,φυλάκους,1,0,1
797,ἐστόν,0,1,3
798,νόου,1,0,3
799,προσέειπε,8,6,128
800,Ἀφροδίτῃ,1,0,7
801,πλεόνεσσι,0,1,9
802,τί,7,11,219
803,ἅλιαι,1,0,1
804,ἐκπάγλως,0,1,8
805,μένω,1,0,3
806,θῖνα,0,1,18
807,νυοί,1,0,2
808,πόνου,0,1,9
809,ἀντιβίην,0,1,3
810,οὐρῆας,0,1,1
811,χαίρετ,1,0,2
812,ἀλεγίζεις,0,1,1
813,φιλοκτεανώτατε,0,1,1
814,βασιλῆα,1,1,20
815,ἐφ,4,0,47
816,ἐχεπευκές,0,1,2
817,ἀντάξιον,0,1,2
818,ἡδυεπής,0,1,1
819,Πάτροκλον,1,0,25
820,παρμέμβλωκεν,1,0,1
821,τόδ,3,1,47
822,Ἀχιλλεῦ,1,1,22
823,ἀρήν,1,0,7
824,ἵππους,9,1,194
825,κτερίσαιεν,1,0,1
826,θήσετε,1,0,1
827,αὐτόθ,1,0,10
828,νιψάμενος,1,0,3
