,text1,book1,text2,book2,cosine_sim
0,iliad,1,iliad,1,0.9999999999999998
1,odyssey,1,odyssey,1,0.9999999999999974
2,iliad,1,odyssey,1,0.7662286395537227
3,iliad,1,iliad,2,0.8007647411036862
4,odyssey,1,odyssey,2,0.8025916489246645
5,iliad,1,odyssey,2,0.7888892742493024
6,iliad,1,iliad,3,0.7793125917123378
7,odyssey,1,odyssey,3,0.7919462382528453
8,iliad,1,odyssey,3,0.7926211434738683
9,iliad,1,iliad,4,0.8135359258877436
10,odyssey,1,odyssey,4,0.8279160058242653
11,iliad,1,odyssey,4,0.8389068426440578
12,iliad,1,iliad,5,0.8044189590559309
13,odyssey,1,odyssey,5,0.7618393870439498
14,iliad,1,odyssey,5,0.7755488643834596
15,iliad,1,iliad,6,0.8112414930095386
16,odyssey,1,odyssey,6,0.7374663459634532
17,iliad,1,odyssey,6,0.7523938045235117
18,iliad,1,iliad,7,0.7898233004454519
19,odyssey,1,odyssey,7,0.7631045829332376
20,iliad,1,odyssey,7,0.7749158851477923
21,iliad,1,iliad,8,0.8094155362985003
22,odyssey,1,odyssey,8,0.7831908511753267
23,iliad,1,odyssey,8,0.8034220180600906
24,iliad,1,iliad,9,0.8572186459253143
25,odyssey,1,odyssey,9,0.7352322620102013
26,iliad,1,odyssey,9,0.7830219429297796
27,iliad,1,iliad,10,0.7905428316498104
28,odyssey,1,odyssey,10,0.742521590970996
29,iliad,1,odyssey,10,0.7780993208378674
30,iliad,1,iliad,11,0.8014728984137399
31,odyssey,1,odyssey,11,0.7712855715883514
32,iliad,1,odyssey,11,0.8208531220265912
33,iliad,1,iliad,12,0.7653430784249797
34,odyssey,1,odyssey,12,0.7189954849832528
35,iliad,1,odyssey,12,0.7545069721741342
36,iliad,1,iliad,13,0.8054982305142765
37,odyssey,1,odyssey,13,0.7800674102026165
38,iliad,1,odyssey,13,0.7964244237260065
39,iliad,1,iliad,14,0.8015462913424156
40,odyssey,1,odyssey,14,0.8007054604194057
41,iliad,1,odyssey,14,0.808062550283219
42,iliad,1,iliad,15,0.8265673933059523
43,odyssey,1,odyssey,15,0.8064551387821615
44,iliad,1,odyssey,15,0.8054465444291944
45,iliad,1,iliad,16,0.8044238289817076
46,odyssey,1,odyssey,16,0.7964103417663003
47,iliad,1,odyssey,16,0.7883588848235302
48,iliad,1,iliad,17,0.7916830761517795
49,odyssey,1,odyssey,17,0.7974336071609256
50,iliad,1,odyssey,17,0.7949342247024612
51,iliad,1,iliad,18,0.80432580268009
52,odyssey,1,odyssey,18,0.7789081800135195
53,iliad,1,odyssey,18,0.7899651114861402
54,iliad,1,iliad,19,0.8102771119137823
55,odyssey,1,odyssey,19,0.7940193291805957
56,iliad,1,odyssey,19,0.7965454474026952
57,iliad,1,iliad,20,0.7946221712444079
58,odyssey,1,odyssey,20,0.7779452410546455
59,iliad,1,odyssey,20,0.7827859290954108
60,iliad,1,iliad,21,0.809096807557626
61,odyssey,1,odyssey,21,0.7292049442550319
62,iliad,1,odyssey,21,0.7407366023061324
63,iliad,1,iliad,22,0.8011555259831531
64,odyssey,1,odyssey,22,0.7433631724341916
65,iliad,1,odyssey,22,0.7537156857441523
66,iliad,1,iliad,23,0.8135976365071642
67,odyssey,1,odyssey,23,0.7516957889077979
68,iliad,1,odyssey,23,0.7489842257701369
69,iliad,1,iliad,24,0.8649472679133272
70,odyssey,1,odyssey,24,0.793085969144627
71,iliad,1,odyssey,24,0.8022581110011835
72,iliad,2,odyssey,1,0.70770391131493
73,iliad,2,iliad,2,1.0000000000000004
74,odyssey,2,odyssey,2,0.999999999999997
75,iliad,2,odyssey,2,0.7399190110701669
76,iliad,2,iliad,3,0.8111620767184404
77,odyssey,2,odyssey,3,0.7930121378715916
78,iliad,2,odyssey,3,0.7563494601610717
79,iliad,2,iliad,4,0.8191351693993574
80,odyssey,2,odyssey,4,0.8502484756278128
81,iliad,2,odyssey,4,0.7952796077386177
82,iliad,2,iliad,5,0.7930865303044872
83,odyssey,2,odyssey,5,0.787625171073309
84,iliad,2,odyssey,5,0.7476545446449097
85,iliad,2,iliad,6,0.7950055489046216
86,odyssey,2,odyssey,6,0.7567781181993241
87,iliad,2,odyssey,6,0.746993501443976
88,iliad,2,iliad,7,0.8011470551005715
89,odyssey,2,odyssey,7,0.7840584588101481
90,iliad,2,odyssey,7,0.7386747264180586
91,iliad,2,iliad,8,0.8075301560968049
92,odyssey,2,odyssey,8,0.7970837206200465
93,iliad,2,odyssey,8,0.7868108406071482
94,iliad,2,iliad,9,0.8304517914695196
95,odyssey,2,odyssey,9,0.7675230131069517
96,iliad,2,odyssey,9,0.7544323854720495
97,iliad,2,iliad,10,0.7682441606984268
98,odyssey,2,odyssey,10,0.7717873203956378
99,iliad,2,odyssey,10,0.7476867238874156
100,iliad,2,iliad,11,0.8039754736150893
101,odyssey,2,odyssey,11,0.7900546596918077
102,iliad,2,odyssey,11,0.7861590358860103
103,iliad,2,iliad,12,0.7968377194730407
104,odyssey,2,odyssey,12,0.7320364389353647
105,iliad,2,odyssey,12,0.7090974134795356
106,iliad,2,iliad,13,0.8263529504667679
107,odyssey,2,odyssey,13,0.7915661883552566
108,iliad,2,odyssey,13,0.749969996125641
109,iliad,2,iliad,14,0.7776857199101065
110,odyssey,2,odyssey,14,0.8028424429209554
111,iliad,2,odyssey,14,0.7830829531795311
112,iliad,2,iliad,15,0.8224397923525937
113,odyssey,2,odyssey,15,0.821600357919962
114,iliad,2,odyssey,15,0.7799328407028023
115,iliad,2,iliad,16,0.8003388455279864
116,odyssey,2,odyssey,16,0.8175747802823841
117,iliad,2,odyssey,16,0.7329566674823892
118,iliad,2,iliad,17,0.8033783064741814
119,odyssey,2,odyssey,17,0.8218274357648494
120,iliad,2,odyssey,17,0.7463762109843356
121,iliad,2,iliad,18,0.7909705144080112
122,odyssey,2,odyssey,18,0.8074308611858815
123,iliad,2,odyssey,18,0.7402698997435097
124,iliad,2,iliad,19,0.7663386831000101
125,odyssey,2,odyssey,19,0.8089454778398589
126,iliad,2,odyssey,19,0.7504696979554039
127,iliad,2,iliad,20,0.7637303410785437
128,odyssey,2,odyssey,20,0.8092479984849927
129,iliad,2,odyssey,20,0.7496231702895442
130,iliad,2,iliad,21,0.7729884352743994
131,odyssey,2,odyssey,21,0.7565998970245458
132,iliad,2,odyssey,21,0.7200188920694337
133,iliad,2,iliad,22,0.7591922144483095
134,odyssey,2,odyssey,22,0.7784958356795414
135,iliad,2,odyssey,22,0.7291909604908625
136,iliad,2,iliad,23,0.7955897615396739
137,odyssey,2,odyssey,23,0.7677938518585067
138,iliad,2,odyssey,23,0.6866069277318834
139,iliad,2,iliad,24,0.8148113299139927
140,odyssey,2,odyssey,24,0.8260678036025882
141,iliad,2,odyssey,24,0.7715058291641117
142,iliad,3,odyssey,1,0.7129674670160475
143,iliad,3,odyssey,2,0.7447502480445252
144,iliad,3,iliad,3,0.999999999999997
145,odyssey,3,odyssey,3,1.0
146,iliad,3,odyssey,3,0.7449276306864991
147,iliad,3,iliad,4,0.8179299873392498
148,odyssey,3,odyssey,4,0.8376963345457044
149,iliad,3,odyssey,4,0.8090897773979223
150,iliad,3,iliad,5,0.7813980082057792
151,odyssey,3,odyssey,5,0.7770915815805156
152,iliad,3,odyssey,5,0.7560075020709183
153,iliad,3,iliad,6,0.8193911321832481
154,odyssey,3,odyssey,6,0.7565196386873404
155,iliad,3,odyssey,6,0.7422230821274438
156,iliad,3,iliad,7,0.8196209458919257
157,odyssey,3,odyssey,7,0.775523885786612
158,iliad,3,odyssey,7,0.7565928244888229
159,iliad,3,iliad,8,0.7988190350702091
160,odyssey,3,odyssey,8,0.7870785918826045
161,iliad,3,odyssey,8,0.7896224681377594
162,iliad,3,iliad,9,0.8078783235332405
163,odyssey,3,odyssey,9,0.7632410839167867
164,iliad,3,odyssey,9,0.7559082592564482
165,iliad,3,iliad,10,0.7615489125633369
166,odyssey,3,odyssey,10,0.7675415745219661
167,iliad,3,odyssey,10,0.7518890289093816
168,iliad,3,iliad,11,0.7948647052176266
169,odyssey,3,odyssey,11,0.783076601083718
170,iliad,3,odyssey,11,0.7879478084726271
171,iliad,3,iliad,12,0.7626571672960667
172,odyssey,3,odyssey,12,0.7423326554057406
173,iliad,3,odyssey,12,0.7055712701978631
174,iliad,3,iliad,13,0.8113036874019048
175,odyssey,3,odyssey,13,0.7807449073911292
176,iliad,3,odyssey,13,0.7592702219519069
177,iliad,3,iliad,14,0.7653827208575079
178,odyssey,3,odyssey,14,0.7964934027686613
179,iliad,3,odyssey,14,0.7797683336586155
180,iliad,3,iliad,15,0.815093030342253
181,odyssey,3,odyssey,15,0.8245095498405423
182,iliad,3,odyssey,15,0.7844924757451783
183,iliad,3,iliad,16,0.7842209570464623
184,odyssey,3,odyssey,16,0.7828835968494906
185,iliad,3,odyssey,16,0.7428163440384993
186,iliad,3,iliad,17,0.8002841225048075
187,odyssey,3,odyssey,17,0.7877976547242458
188,iliad,3,odyssey,17,0.756506752326094
189,iliad,3,iliad,18,0.767644519178194
190,odyssey,3,odyssey,18,0.7659446072396475
191,iliad,3,odyssey,18,0.7669038998395804
192,iliad,3,iliad,19,0.7642945464442313
193,odyssey,3,odyssey,19,0.778974941088939
194,iliad,3,odyssey,19,0.763329812241761
195,iliad,3,iliad,20,0.7698375115709037
196,odyssey,3,odyssey,20,0.776454863482704
197,iliad,3,odyssey,20,0.7701760219604883
198,iliad,3,iliad,21,0.7676083326993111
199,odyssey,3,odyssey,21,0.7238849766013961
200,iliad,3,odyssey,21,0.7257959175054669
201,iliad,3,iliad,22,0.7639163263234227
202,odyssey,3,odyssey,22,0.7407065934434018
203,iliad,3,odyssey,22,0.7473985129985347
204,iliad,3,iliad,23,0.7777386543166149
205,odyssey,3,odyssey,23,0.7354550031586081
206,iliad,3,odyssey,23,0.7196715072253557
207,iliad,3,iliad,24,0.8139714355071537
208,odyssey,3,odyssey,24,0.8010421185962203
209,iliad,3,odyssey,24,0.7954109329838833
210,iliad,4,odyssey,1,0.719876050807494
211,iliad,4,odyssey,2,0.7509381440220124
212,iliad,4,odyssey,3,0.7620374511503283
213,iliad,4,iliad,4,0.9999999999999994
214,odyssey,4,odyssey,4,0.9999999999999974
215,iliad,4,odyssey,4,0.8185872941334692
216,iliad,4,iliad,5,0.8427039202177399
217,odyssey,4,odyssey,5,0.8418021235195978
218,iliad,4,odyssey,5,0.7674270253614286
219,iliad,4,iliad,6,0.8285824637455588
220,odyssey,4,odyssey,6,0.8094134634644925
221,iliad,4,odyssey,6,0.7524184344309954
222,iliad,4,iliad,7,0.8179532068907248
223,odyssey,4,odyssey,7,0.8284229056793454
224,iliad,4,odyssey,7,0.758632445813617
225,iliad,4,iliad,8,0.8365387787152401
226,odyssey,4,odyssey,8,0.8508648378469326
227,iliad,4,odyssey,8,0.7940903149793636
228,iliad,4,iliad,9,0.8340937670537144
229,odyssey,4,odyssey,9,0.8446584066729149
230,iliad,4,odyssey,9,0.7686075060888546
231,iliad,4,iliad,10,0.789809578419838
232,odyssey,4,odyssey,10,0.846107254835551
233,iliad,4,odyssey,10,0.7737976558575507
234,iliad,4,iliad,11,0.8537737949946698
235,odyssey,4,odyssey,11,0.8573930101641895
236,iliad,4,odyssey,11,0.8063157383619226
237,iliad,4,iliad,12,0.800429848499692
238,odyssey,4,odyssey,12,0.7969304790902214
239,iliad,4,odyssey,12,0.7121729633189077
240,iliad,4,iliad,13,0.8572349093517179
241,odyssey,4,odyssey,13,0.8404170249367119
242,iliad,4,odyssey,13,0.7740829670603236
243,iliad,4,iliad,14,0.8168431376127308
244,odyssey,4,odyssey,14,0.8550023112881476
245,iliad,4,odyssey,14,0.7896298851364544
246,iliad,4,iliad,15,0.8576175949386734
247,odyssey,4,odyssey,15,0.8723340268567681
248,iliad,4,odyssey,15,0.7932800837099788
249,iliad,4,iliad,16,0.8487737995359544
250,odyssey,4,odyssey,16,0.8396104320725775
251,iliad,4,odyssey,16,0.7580208778145459
252,iliad,4,iliad,17,0.8528887103213214
253,odyssey,4,odyssey,17,0.8582150980185664
254,iliad,4,odyssey,17,0.7763133446996572
255,iliad,4,iliad,18,0.8094982111481172
256,odyssey,4,odyssey,18,0.833425826262767
257,iliad,4,odyssey,18,0.7648765257290197
258,iliad,4,iliad,19,0.7889491942174995
259,odyssey,4,odyssey,19,0.8538767411074738
260,iliad,4,odyssey,19,0.7681309066171177
261,iliad,4,iliad,20,0.8099216060082034
262,odyssey,4,odyssey,20,0.8392060459317856
263,iliad,4,odyssey,20,0.7655805715728826
264,iliad,4,iliad,21,0.8168151249783573
265,odyssey,4,odyssey,21,0.7885120382316504
266,iliad,4,odyssey,21,0.7449256862958138
267,iliad,4,iliad,22,0.7930503335575019
268,odyssey,4,odyssey,22,0.8162631501091503
269,iliad,4,odyssey,22,0.7733531828384298
270,iliad,4,iliad,23,0.8290794731773868
271,odyssey,4,odyssey,23,0.8132217737509715
272,iliad,4,odyssey,23,0.7156786441176488
273,iliad,4,iliad,24,0.8263422773409581
274,odyssey,4,odyssey,24,0.8580829717671413
275,iliad,4,odyssey,24,0.8054204872797017
276,iliad,5,odyssey,1,0.7233146030115635
277,iliad,5,odyssey,2,0.7493100681376125
278,iliad,5,odyssey,3,0.7595961371381624
279,iliad,5,odyssey,4,0.8112681014364346
280,iliad,5,iliad,5,0.9999999999999962
281,odyssey,5,odyssey,5,1.000000000000002
282,iliad,5,odyssey,5,0.7683862265142629
283,iliad,5,iliad,6,0.8201084120526022
284,odyssey,5,odyssey,6,0.7765445386489938
285,iliad,5,odyssey,6,0.741587637308384
286,iliad,5,iliad,7,0.8070647051736585
287,odyssey,5,odyssey,7,0.8107996319099204
288,iliad,5,odyssey,7,0.7431460027088603
289,iliad,5,iliad,8,0.8600532393697695
290,odyssey,5,odyssey,8,0.7982228257933871
291,iliad,5,odyssey,8,0.7723014385931971
292,iliad,5,iliad,9,0.815844606727513
293,odyssey,5,odyssey,9,0.8064783293769627
294,iliad,5,odyssey,9,0.7643409123710236
295,iliad,5,iliad,10,0.798125921265555
296,odyssey,5,odyssey,10,0.8037150298518927
297,iliad,5,odyssey,10,0.7488407541768781
298,iliad,5,iliad,11,0.8647439464886187
299,odyssey,5,odyssey,11,0.8009638953381228
300,iliad,5,odyssey,11,0.7898957434846093
301,iliad,5,iliad,12,0.7835098567629754
302,odyssey,5,odyssey,12,0.7744231722130709
303,iliad,5,odyssey,12,0.6978337886744412
304,iliad,5,iliad,13,0.855795088707004
305,odyssey,5,odyssey,13,0.807363016135026
306,iliad,5,odyssey,13,0.7752160406776825
307,iliad,5,iliad,14,0.8223148504993797
308,odyssey,5,odyssey,14,0.8066360769813627
309,iliad,5,odyssey,14,0.7717022984780381
310,iliad,5,iliad,15,0.866428307343593
311,odyssey,5,odyssey,15,0.7963577008442958
312,iliad,5,odyssey,15,0.7845626717225692
313,iliad,5,iliad,16,0.8596746343462146
314,odyssey,5,odyssey,16,0.7704512498696363
315,iliad,5,odyssey,16,0.7493564797886163
316,iliad,5,iliad,17,0.8565623352128936
317,odyssey,5,odyssey,17,0.794009286555725
318,iliad,5,odyssey,17,0.7688280111256334
319,iliad,5,iliad,18,0.8118869997719054
320,odyssey,5,odyssey,18,0.7944505722352733
321,iliad,5,odyssey,18,0.7553742691413347
322,iliad,5,iliad,19,0.783729452272361
323,odyssey,5,odyssey,19,0.8041295038594685
324,iliad,5,odyssey,19,0.7617999728600884
325,iliad,5,iliad,20,0.8441198855630273
326,odyssey,5,odyssey,20,0.7802300053194061
327,iliad,5,odyssey,20,0.7524614513263569
328,iliad,5,iliad,21,0.8401986688449173
329,odyssey,5,odyssey,21,0.7357007999927484
330,iliad,5,odyssey,21,0.7381218250572169
331,iliad,5,iliad,22,0.8084287100188856
332,odyssey,5,odyssey,22,0.762098912489586
333,iliad,5,odyssey,22,0.7732330690935876
334,iliad,5,iliad,23,0.8403503796449004
335,odyssey,5,odyssey,23,0.7738765295516903
336,iliad,5,odyssey,23,0.7165231254338521
337,iliad,5,iliad,24,0.8281450103085043
338,odyssey,5,odyssey,24,0.8117874066050896
339,iliad,5,odyssey,24,0.7908141166148487
340,iliad,6,odyssey,1,0.7474702879164411
341,iliad,6,odyssey,2,0.7810300814716218
342,iliad,6,odyssey,3,0.7755515251977816
343,iliad,6,odyssey,4,0.837607917924057
344,iliad,6,odyssey,5,0.789915943540644
345,iliad,6,iliad,6,0.9999999999999996
346,odyssey,6,odyssey,6,0.9999999999999978
347,iliad,6,odyssey,6,0.7649565805068284
348,iliad,6,iliad,7,0.8197142967789397
349,odyssey,6,odyssey,7,0.8038317353132409
350,iliad,6,odyssey,7,0.7780620894333127
351,iliad,6,iliad,8,0.8204186154601055
352,odyssey,6,odyssey,8,0.805008443363757
353,iliad,6,odyssey,8,0.8048263730839029
354,iliad,6,iliad,9,0.8395979442566182
355,odyssey,6,odyssey,9,0.7591374302557873
356,iliad,6,odyssey,9,0.7750123662659609
357,iliad,6,iliad,10,0.7830405981725019
358,odyssey,6,odyssey,10,0.7706404018130366
359,iliad,6,odyssey,10,0.7777430286380913
360,iliad,6,iliad,11,0.8255442980002358
361,odyssey,6,odyssey,11,0.7762282605148723
362,iliad,6,odyssey,11,0.8057355718633556
363,iliad,6,iliad,12,0.8017635812997143
364,odyssey,6,odyssey,12,0.7016764760594679
365,iliad,6,odyssey,12,0.7232131044382544
366,iliad,6,iliad,13,0.8334885285618078
367,odyssey,6,odyssey,13,0.782907611070214
368,iliad,6,odyssey,13,0.7836243952956912
369,iliad,6,iliad,14,0.8129196893193745
370,odyssey,6,odyssey,14,0.7877373284753472
371,iliad,6,odyssey,14,0.7996141731943002
372,iliad,6,iliad,15,0.8545685107776188
373,odyssey,6,odyssey,15,0.7879714816603424
374,iliad,6,odyssey,15,0.8097877138499054
375,iliad,6,iliad,16,0.825788568776243
376,odyssey,6,odyssey,16,0.7575298440062495
377,iliad,6,odyssey,16,0.7762319862212768
378,iliad,6,iliad,17,0.8416515991516166
379,odyssey,6,odyssey,17,0.7619594745280547
380,iliad,6,odyssey,17,0.7881080298463208
381,iliad,6,iliad,18,0.8048602563624482
382,odyssey,6,odyssey,18,0.7619010115436308
383,iliad,6,odyssey,18,0.7865659351178579
384,iliad,6,iliad,19,0.7829385946978333
385,odyssey,6,odyssey,19,0.7827037839029467
386,iliad,6,odyssey,19,0.7788876332844843
387,iliad,6,iliad,20,0.8169238327773537
388,odyssey,6,odyssey,20,0.771743178487316
389,iliad,6,odyssey,20,0.7836573070611428
390,iliad,6,iliad,21,0.8256661601165614
391,odyssey,6,odyssey,21,0.7184416632261269
392,iliad,6,odyssey,21,0.7574891204533523
393,iliad,6,iliad,22,0.8216841782152402
394,odyssey,6,odyssey,22,0.7434190264369641
395,iliad,6,odyssey,22,0.7736849867051979
396,iliad,6,iliad,23,0.810594685554523
397,odyssey,6,odyssey,23,0.7243278226012985
398,iliad,6,odyssey,23,0.7439661165471435
399,iliad,6,iliad,24,0.8515309066331804
